,name,song_id_x,song_name,genre,feature_id,danceability,energy,key_,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,number_sections,avg_duration,std_duration,std_loudness,std_tempo,number_keys
913,The Rolling Stones,3ZpTSIpuTsQqRPzZmS7yzb,The Worst - Remastered,"album rock, british invasion, classic rock, protopunk, rock",3ZpTSIpuTsQqRPzZmS7yzb144867,0.486,0.451,9.0,-10.86,1.0,0.033,0.147,0.000541,0.295,0.24,69.393,144867.0,4.0,7,20.695228571428576,7.260510568298965,5.100907164883704,1.2440663739757383,3.0
914,The Rolling Stones,3ZQimDj4LetbHs2ry5jAQr,Time Waits For No One - Remastered,"album rock, british invasion, classic rock, protopunk, rock",3ZQimDj4LetbHs2ry5jAQr398107,0.533,0.781,0.0,-4.602,1.0,0.0316,0.0784,0.000273,0.063,0.815,118.316,398107.0,4.0,13,30.62355307692308,45.24293565166047,2.2440769246150505,1.2309883875392238,4.0
915,Bruce Springsteen,3ZufkKoXGPSRFQzkFnTbls,So Young And In Love - Studio Outtake - 1974,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",3ZufkKoXGPSRFQzkFnTbls226893,0.342,0.988,7.0,-6.421,1.0,0.0821,0.00826,0.000128,0.317,0.487,140.848,226893.0,4.0,10,22.689331000000003,18.12674746996729,0.7215200312919632,2.0831591820544473,4.0
916,Kanye West,3zXhvJaLpxefYIxBE0cnB0,Skit #4,"chicago rap, rap",3zXhvJaLpxefYIxBE0cnB078667,0.722,0.258,10.0,-19.633,0.0,0.873,0.0411,0.0,0.148,0.141,118.732,78667.0,3.0,4,19.666675,12.40175596904863,5.644225685010597,4.379987404852514,3.0
917,Red Hot Chili Peppers,402sXCQikR6VV2x2265Jsm,My Lovely Man,"alternative rock, funk metal, funk rock, permanent wave, post-grunge, rock",402sXCQikR6VV2x2265Jsm279067,0.602,0.75,11.0,-10.877,0.0,0.0483,9.09e-05,0.00148,0.28,0.738,113.917,279067.0,4.0,12,23.255560833333334,13.068887612801813,5.8329908819393745,1.0917575765986771,3.0
918,Bruce Springsteen,408tTuSDxIr3zDR90Zmcw2,Highway Patrolman,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",408tTuSDxIr3zDR90Zmcw2336400,0.478,0.0423,6.0,-20.078,1.0,0.0306,0.778,3.58e-05,0.109,0.192,104.267,336400.0,4.0,19,17.705265789473685,6.651473432967328,3.9476646579290375,1.2983989421073554,4.0
919,Kendrick Lamar,40IQooNkPRVtn4zlE3ZFpA,untitled 07 | 2014 - 2016,"conscious hip hop, hip hop, rap, west coast rap",40IQooNkPRVtn4zlE3ZFpA496173,0.567,0.463,6.0,-11.669,0.0,0.504,0.732,0.0,0.709,0.324,126.982,496173.0,4.0,19,26.114378947368426,23.443143133039964,7.44654615217627,15.883595035858788,9.0
920,The Rolling Stones,40uqC6osBbNPm4jEN3OsAl,Respectable - Remastered,"album rock, british invasion, classic rock, protopunk, rock",40uqC6osBbNPm4jEN3OsAl187440,0.452,0.99,9.0,-2.823,1.0,0.0524,0.123,0.884,0.0677,0.875,152.111,187440.0,4.0,12,15.62,6.399495479930785,1.484188269116091,1.1487702087120133,3.0
921,Kendrick Lamar,410Rb1xtgWVg8YKkpE3dkY,The Recipe (Black Hippy Remix) - Bonus Track,"conscious hip hop, hip hop, rap, west coast rap",410Rb1xtgWVg8YKkpE3dkY262920,0.723,0.758,1.0,-7.303,0.0,0.148,0.000588,0.0,0.357,0.628,131.051,262920.0,4.0,10,26.292005,24.120126088383465,9.973430263009368,41.42400210345044,4.0
922,Bruce Springsteen,41RlTAAmlNhuhPx8rPZlDS,Long Walk Home,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",41RlTAAmlNhuhPx8rPZlDS274120,0.464,0.874,10.0,-4.795,1.0,0.0553,0.0995,7.65e-06,0.102,0.469,122.979,274120.0,4.0,17,16.124698823529414,5.514252854488633,3.5065438206553856,0.2791503916824584,4.0
923,Fleetwood Mac,41tJM6A0L02Rw6JSS5iThp,Love in Store - 2016 Remaster,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",41tJM6A0L02Rw6JSS5iThp195026,0.688,0.568,0.0,-8.74,1.0,0.0279,0.1,0.00162,0.119,0.384,124.515,195026.0,4.0,11,17.729654545454547,7.941911004709589,8.665564337705254,0.9558541824890491,1.0
924,Bruce Springsteen,41zIahDCFqHTdXvtLcHrLr,Zero And Blind Terry - Studio Outtake - 1973,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",41zIahDCFqHTdXvtLcHrLr355667,0.329,0.745,4.0,-7.804,1.0,0.0466,0.0281,2.82e-06,0.739,0.332,118.682,355667.0,4.0,14,25.40475928571428,19.954251893567584,7.085535143461697,2.199014031058284,3.0
925,Bruce Springsteen,42apdfc9dMUDt6lj4ZqE0G,Man At The Top - Studio Outtake - 1984,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",42apdfc9dMUDt6lj4ZqE0G199240,0.736,0.655,7.0,-6.828,1.0,0.0269,0.0433,3.07e-06,0.129,0.844,113.006,199240.0,4.0,9,22.137774444444446,11.743337803777417,7.080343025666985,0.20349631446294275,3.0
926,Red Hot Chili Peppers,42DSTal38NakfMCu7RuNcv,Make You Feel Better,"alternative rock, funk metal, funk rock, permanent wave, post-grunge, rock",42DSTal38NakfMCu7RuNcv231733,0.404,0.877,7.0,-4.319,1.0,0.037,0.0241,7.89e-06,0.166,0.68,179.885,231733.0,4.0,10,23.173330999999997,15.777154643176987,5.3386382418906955,4.551843925512184,5.0
927,The Rolling Stones,42EfCAeyjoVRx4CEoze6CN,Down The Road Apiece - Top Gear / 1965,"album rock, british invasion, classic rock, protopunk, rock",42EfCAeyjoVRx4CEoze6CN121787,0.618,0.812,2.0,-8.318,1.0,0.0598,0.0419,0.809,0.0465,0.881,85.983,121787.0,4.0,7,17.398084285714283,12.077244073647842,2.490775543786274,0.4989180675173373,4.0
928,Bruce Springsteen,42eWzCqHuCD5QRwzq3I24e,57 Channels (And Nothin' On),"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",42eWzCqHuCD5QRwzq3I24e145467,0.894,0.316,7.0,-18.975,1.0,0.0978,0.608,0.0153,0.111,0.64,132.061,145467.0,4.0,7,20.78095714285714,10.343259114935218,7.004541550546568,0.16119523802490066,2.0
929,Kanye West,42GcjriRK6srwHkfbkBqVl,Blood On The Leaves,"chicago rap, rap",42GcjriRK6srwHkfbkBqVl359800,0.454,0.69,2.0,-4.108,0.0,0.157,0.396,0.0,0.101,0.37,171.989,359800.0,4.0,15,23.986666000000003,18.72559055506654,4.649271599887859,2.4840882106107225,6.0
930,Bruce Springsteen,42LXJi06Y5KXYAJCsZSPv1,Further On (Up the Road),"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",42LXJi06Y5KXYAJCsZSPv1230160,0.485,0.875,5.0,-5.27,0.0,0.0409,0.000271,1.07e-06,0.335,0.668,125.145,230160.0,4.0,10,23.015999,16.19468602919931,1.68841513128601,0.16508263923797933,4.0
931,JAY-Z,42x5XhtFhCziVAKodqCLUr,Kingdom Come,"east coast hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop",42x5XhtFhCziVAKodqCLUr263547,0.422,0.941,9.0,-3.394,1.0,0.346,0.0528,0.0,0.107,0.692,173.488,263547.0,4.0,11,23.958794545454545,10.681904821815596,6.733767192292885,1.704149598640165,5.0
932,Kanye West,432hUIl3ISDeytYW5XBQ5h,Wolves,"chicago rap, rap",432hUIl3ISDeytYW5XBQ5h301587,0.395,0.392,1.0,-8.034,1.0,0.0925,0.219,0.00173,0.134,0.103,155.856,301587.0,4.0,10,30.158666,21.666582402338808,5.611725050681336,32.63645924780035,3.0
